station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
J030R005,85 ST-FOREST PK,J16,J030,J,QN53,Woodhaven,POINT (-73.86001 40.692435),40.692434999999996,-73.86001,R005
J031R006,WOODHAVEN BLVD,J15,J031,JZ,QN53,Woodhaven,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576,R006
J032R006,WOODHAVEN BLVD,J15,J032,JZ,QN53,Woodhaven,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576,R006
J034R007,104 ST,J14,J034,JZ,QN54,Richmond Hill,POINT (-73.84433 40.69517800000001),40.695178000000006,-73.84433,R007
J035R008,111 ST,J13,J035,J,QN54,Richmond Hill,POINT (-73.83634499999999 40.697418),40.697418,-73.836345,R008
J037R009,121 ST,J12,J037,JZ,QN54,Richmond Hill,POINT (-73.828294 40.700492),40.700492,-73.828294,R009
JFK01R535,HOWARD BCH JFK,H03,JFK01,A,QN98,Airport,POINT (-73.83030100000001 40.660476),40.660476,-73.830301,R535
JFK02R535,HOWARD BCH JFK,H03,JFK02,A,QN98,Airport,POINT (-73.83030100000001 40.660476),40.660476,-73.830301,R535
JFK03R536,JFK JAMAICA CT1,G05,JFK03,E,QN61,Jamaica,POINT (-73.801109 40.702147),40.702147,-73.801109,R536
K017R401,CENTRAL AV,M10,K017,M,BK78,Bushwick South,POINT (-73.927397 40.697857),40.697857,-73.927397,R401
K019R413,KNICKERBOCKER,M09,K019,M,BK77,Bushwick North,POINT (-73.91971099999999 40.698664),40.698664,-73.91971099999999,R413
K022R402,SENECA AVE,M06,K022,M,QN20,Ridgewood,POINT (-73.90774 40.702762),40.702762,-73.90774,R402
K024R403,FOREST AVE,M05,K024,M,QN20,Ridgewood,POINT (-73.903077 40.704423),40.704423,-73.903077,R403
K025R404,FRESH POND RD,M04,K025,M,QN20,Ridgewood,POINT (-73.895877 40.706186),40.706185999999995,-73.895877,R404
K026R100,METROPOLITAN AV,M01,K026,M,QN20,Ridgewood,POINT (-73.889601 40.711396),40.711396,-73.889601,R100
N001R173,INWOOD-207 ST,A02,N001,A,MN01,Marble Hill-Inwood,POINT (-73.919899 40.868072),40.868072,-73.919899,R173
N002AR173,INWOOD-207 ST,A02,N002A,A,MN01,Marble Hill-Inwood,POINT (-73.919899 40.868072),40.868072,-73.919899,R173
N003R185,DYCKMAN ST,A03,N003,A,MN35,Washington Heights North,POINT (-73.92727099999999 40.865491),40.865491,-73.92727099999999,R185
N006AR280,190 ST,A05,N006A,A,MN35,Washington Heights North,POINT (-73.93418 40.859022),40.859021999999996,-73.93418,R280
N007AR174,181 ST,A06,N007A,A,MN35,Washington Heights North,POINT (-73.937969 40.851695),40.851695,-73.937969,R174
N009R174,181 ST,A06,N009,A,MN35,Washington Heights North,POINT (-73.937969 40.851695),40.851695,-73.937969,R174
N010R126,175 ST,A07,N010,A,MN36,Washington Heights South,POINT (-73.93970400000001 40.84739099999999),40.847390999999995,-73.939704,R126
N011R126,175 ST,A07,N011,A,MN36,Washington Heights South,POINT (-73.93970400000001 40.84739099999999),40.847390999999995,-73.939704,R126
N012R035,168 ST,A09,N012,AC1,MN36,Washington Heights South,POINT (-73.939561 40.840719),40.840719,-73.939561,R035
N013R035,168 ST,A09,N013,AC1,MN36,Washington Heights South,POINT (-73.939561 40.840719),40.840719,-73.939561,R035
N016AR296,163 ST-AMSTERDM,A10,N016A,C,MN36,Washington Heights South,POINT (-73.939892 40.836013),40.836013,-73.939892,R296
N017R331,155 ST,A11,N017,C,MN04,Hamilton Heights,POINT (-73.941514 40.830518),40.830518,-73.941514,R331
N019R101,145 ST,A12,N019,ABCD,MN04,Hamilton Heights,POINT (-73.944216 40.824783),40.824783000000004,-73.944216,R101
N020R101,145 ST,A12,N020,ABCD,MN04,Hamilton Heights,POINT (-73.944216 40.824783),40.824783000000004,-73.944216,R101
N022R332,135 ST,A14,N022,BC,MN03,Central Harlem North-Polo Grounds,POINT (-73.947649 40.817894),40.817894,-73.947649,R332
N023R332,135 ST,A14,N023,BC,MN03,Central Harlem North-Polo Grounds,POINT (-73.947649 40.817894),40.817894,-73.947649,R332
N024R332,135 ST,A14,N024,BC,MN03,Central Harlem North-Polo Grounds,POINT (-73.947649 40.817894),40.817894,-73.947649,R332
